name,platform,year_of_release,genre,publisher,na_sales_cleaned,eu_sales_cleaned,jp_sales_cleaned,other_sales_cleaned,global_sales_cleaned,critic_score,critic_count,user_score,user_count,developer,rating
Wii Sports,Wii,2006,Sports,Nintendo,41360000,28960000,3770000,8450000,82530000,76,51,8,322,Nintendo,E
Super Mario Bros.,NES,1985,Platform,Nintendo,29080000,3580000,6810000,770000,40240000,,,,,,
Mario Kart Wii,Wii,2008,Racing,Nintendo,15680000,12760000,3790000,3290000,35520000,82,73,8.3,709,Nintendo,
Wii Sports Resort,Wii,2009,Sports,Nintendo,15610000,10930000,3280000,2950000,32770000,80,73,8,192,Nintendo,E
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11270000,8890000,10220000,1000000,31370000,,,,,,
Tetris,GB,1989,Puzzle,Nintendo,23200000,2260000,4220000,580000,30260000,,,,,,
New Super Mario Bros.,DS,2006,Platform,Nintendo,11280000,9140000,6500000,2880000,29800000,89,65,8.5,431,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,13960000,9180000,2930000,2840000,28920000,58,41,6.6,129,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14440000,6940000,4700000,2240000,28320000,87,80,8.4,594,Nintendo,E
Duck Hunt,NES,1984,Shooter,Nintendo,26930000,630000,280000,470000,28310000,,,,,,
Nintendogs,DS,2005,Simulation,Nintendo,9050000,10950000,1930000,2740000,24670000,,,,,,
Mario Kart DS,DS,2005,Racing,Nintendo,9710000,7470000,4130000,1900000,23210000,91,64,8.6,464,Nintendo,E
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9000000,6180000,7200000,710000,23100000,,,,,,
Wii Fit,Wii,2007,Sports,Nintendo,8920000,8030000,3600000,2150000,22700000,80,63,7.7,146,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15000000,4890000,240000,1690000,21810000,61,45,6.3,106,Good Science Studio,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,9010000,8490000,2530000,1770000,21790000,80,33,7.4,52,Nintendo,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7020000,9090000,980000,3960000,21040000,97,50,8.2,3994,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9430000,400000,410000,10570000,20810000,95,80,9,1588,Rockstar North,M
Super Mario World,SNES,1990,Platform,Nintendo,12780000,3750000,3540000,550000,20610000,,,,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4740000,9200000,4160000,2040000,20150000,77,58,7.9,50,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6380000,4460000,6040000,1360000,18250000,,,,,,
Super Mario Land,GB,1989,Platform,Nintendo,10830000,2710000,4180000,420000,18140000,,,,,,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9540000,3440000,3840000,460000,17280000,,,,,,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9660000,5140000,60000,1410000,16270000,97,58,8.1,3711,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8410000,5490000,470000,1780000,16150000,95,62,8.7,730,Rockstar North,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6060000,3900000,5380000,500000,15850000,,,,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3430000,5350000,5320000,1180000,15290000,77,37,7.1,19,Nintendo,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5510000,3170000,5650000,800000,15140000,,,,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6850000,5090000,1870000,1160000,14980000,95,54,8.4,314,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9040000,4240000,130000,1320000,14730000,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5890000,5040000,3120000,590000,14640000,,,,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6030000,5860000,360000,2380000,14630000,,,,,,
